method,tau,k,BER,pos_error,neg_error,precision,recall,f1,confusion,n_pos,n_neg,n_queries,n_failed_queries
Cosine,1.0,5,0.037037037037037035,0.0,0.07407407407407407,0.6,1.0,0.7499999999999999,"{'TP': 3, 'FP': 2, 'TN': 25, 'FN': 0}",3,27,30,0
Cosine,1.0,15,0.018518518518518517,0.0,0.037037037037037035,0.75,1.0,0.8571428571428571,"{'TP': 3, 'FP': 1, 'TN': 26, 'FN': 0}",3,27,30,0
Cosine,1.0,25,0.018518518518518517,0.0,0.037037037037037035,0.75,1.0,0.8571428571428571,"{'TP': 3, 'FP': 1, 'TN': 26, 'FN': 0}",3,27,30,0
Hybrid,0.72,5,0.16666666666666666,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8,"{'TP': 2, 'FP': 0, 'TN': 27, 'FN': 1}",3,27,30,0
Hybrid,0.72,15,0.16666666666666666,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8,"{'TP': 2, 'FP': 0, 'TN': 27, 'FN': 1}",3,27,30,0
Hybrid,0.72,25,0.16666666666666666,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8,"{'TP': 2, 'FP': 0, 'TN': 27, 'FN': 1}",3,27,30,0
TauMode,0.42,5,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.5,"{'TP': 1, 'FP': 0, 'TN': 27, 'FN': 2}",3,27,30,0
TauMode,0.42,15,0.5,1.0,0.0,0.0,0.0,0.0,"{'TP': 0, 'FP': 0, 'TN': 27, 'FN': 3}",3,27,30,0
TauMode,0.42,25,0.5,1.0,0.0,0.0,0.0,0.0,"{'TP': 0, 'FP': 0, 'TN': 27, 'FN': 3}",3,27,30,0
Baseline Cosine,1.0,5,0.037037037037037035,0.0,0.07407407407407407,0.6,1.0,0.7499999999999999,"{'TP': 3, 'FP': 2, 'TN': 25, 'FN': 0}",3,27,30,0
Baseline Cosine,1.0,15,0.018518518518518517,0.0,0.037037037037037035,0.75,1.0,0.8571428571428571,"{'TP': 3, 'FP': 1, 'TN': 26, 'FN': 0}",3,27,30,0
Baseline Cosine,1.0,25,0.018518518518518517,0.0,0.037037037037037035,0.75,1.0,0.8571428571428571,"{'TP': 3, 'FP': 1, 'TN': 26, 'FN': 0}",3,27,30,0
